start,end,ml,comment
2014-01-31 21:00,2014-02-01 16:00,0,blurred kdp close to ground
2014-02-02 16:00,2014-02-02 22:00,0,supercooled rain around 15UTC
2014-02-03 00:00,2014-02-03 09:00,0,overhanging
2014-02-10 15:00,2014-02-10 23:59,0,
2014-02-12 00:00,2014-02-12 09:00,0,
2014-02-13 18:00,2014-02-13 23:30,0,overhanging
2014-02-14 09:00,2014-02-15 00:30,0,overhanging
2014-02-15 17:00,2014-02-16 03:00,0,Hallet-Mossop between 00-01
#2014-02-16 17:00,2014-02-17 06:00,0,above freezing
2014-02-18 01:30,2014-02-18 04:30,0,
2014-02-21 13:00,2014-02-22 06:00,0,melting layer after 3?
2014-03-03 00:00,2014-03-03 12:00,0,
#2014-03-07 20:00,2014-03-08 09:00,0,above freezing
2014-03-08 03:00,2014-03-08 08:00,0,no sign of melting at t=0..1C
2014-03-14 21:00,2014-03-15 09:00,0,
2014-03-15 16:30,2014-03-15 19:00,0,shallow
2014-03-16 00:00,2014-03-16 09:00,0,
2014-03-17 21:00,2014-03-18 18:30,0,
2014-03-19 00:00,2014-03-19 05:00,0,
2014-03-19 09:30,2014-03-19 14:45,0,shallow
2014-03-20 09:00,2014-03-20 23:59,0,
2014-12-12 00:00,2014-12-12 12:00,0,after 12 might be melting to bucket
2014-12-13 01:00,2014-12-13 10:00,0,
2014-12-14 03:00,2014-12-14 08:00,0,
2014-12-17 00:00,2014-12-17 15:00,0,strong kdp
2014-12-18 09:00,2014-12-19 15:15,0,
2014-12-20 00:00,2014-12-20 06:00,0,
2014-12-22 11:00,2014-12-22 16:00,0,overhanging
2014-12-24 00:00,2014-12-24 16:00,0,
2014-12-30 00:00,2014-12-30 15:00,0,melting layer after 15
2015-01-03 03:00,2015-01-03 23:59,0,above freezing before 3
2015-01-06 22:00,2015-01-08 01:00,0,
2015-01-08 08:00,2015-01-08 17:00,0,
2015-01-09 18:00,2015-01-10 06:00,0,
2015-01-10 18:00,2015-01-11 18:00,0,
2015-01-12 18:00,2015-01-13 10:00,0,
2015-01-14 00:00,2015-01-14 05:00,0,
2015-01-15 22:00,2015-01-16 11:00,0,sustained kdp
2015-01-17 20:30,2015-01-17 23:00,0,
2015-01-18 11:00,2015-01-18 23:59,0,
2015-01-22 12:00,2015-01-23 04:00,0,
2015-01-23 15:00,2015-01-23 22:30,0,
2015-01-24 09:00,2015-01-24 15:30,0,overhanging
2015-01-25 01:00,2015-01-25 16:00,0,
2015-01-26 07:00,2015-01-27 12:00,0,
2015-01-29 09:00,2015-01-29 18:00,0,
2015-02-01 00:00,2015-02-01 15:30,0,
2015-02-02 12:00,2015-02-02 16:00,0,shallow
2015-02-03 01:00,2015-02-03 06:00,0,
2015-02-05 19:00,2015-02-06 04:00,0,
2015-02-08 00:00,2015-02-08 09:00,0,shallow
2015-02-08 20:00,2015-02-08 23:30,0,overhanging
2015-02-14 10:00,2015-02-14 16:00,0,
2015-02-17 18:00,2015-02-18 07:00,0,
2015-02-21 09:00,2015-02-22 10:00,0,
2015-02-23 23:00,2015-02-24 09:00,0,
2015-03-03 16:00,2015-03-04 06:00,0,
2015-03-04 16:00,2015-03-05 03:00,0,
2015-03-06 00:00,2015-03-06 09:00,0,
2015-03-22 06:00,2015-03-23 15:00,0,
2015-03-30 00:30,2015-03-30 22:00,0,
2015-04-01 15:30,2015-04-01 16:30,0,
2015-04-16 00:00,2015-04-16 06:00,0,
2015-04-29 15:00,2015-04-29 19:00,0,
2015-11-20 06:00,2015-11-22 04:00,0,discontinuous temperature measurement
2015-12-01 15:00,2015-12-01 18:30,0,
2015-12-02 20:00,2015-12-03 03:00,0,
2015-12-04 05:00,2015-12-04 09:30,0,
2015-12-17 00:00,2015-12-17 21:00,0,
2016-01-03 02:00,2016-01-04 04:00,0,
2016-01-08 12:30,2016-01-08 18:00,0,
2016-01-10 21:00,2016-01-11 23:59,0,
2016-01-12 06:00,2016-01-14 06:30,0,
2016-01-14 19:30,2016-01-15 08:00,0,
2016-01-15 21:00,2016-01-16 03:00,0,
2016-01-16 09:00,2016-01-17 01:30,0,
2016-01-18 17:00,2016-01-19 06:00,0,
2016-01-20 12:00,2016-01-20 22:00,0,
2016-01-23 06:00,2016-01-23 16:30,0,
2016-01-23 21:00,2016-01-24 03:00,0,
2016-01-24 12:30,2016-01-24 22:00,0,
2016-01-25 23:00,2016-01-26 03:00,0,supercooled after 3UTC?
2016-01-28 06:00,2016-01-28 22:00,0,very stong kdp
2016-01-29 18:00,2016-01-29 22:00,0,kdp
2016-02-01 17:00,2016-02-02 15:30,0,
2016-02-04 16:00,2016-02-04 21:00,0,
2016-02-06 05:00,2016-02-06 21:00,0,kdp
2016-02-10 10:30,2016-02-10 16:00,0,
2016-02-11 09:30,2016-02-11 19:00,0,
2016-02-11 21:30,2016-02-12 21:00,0,
2016-02-13 00:00,2016-02-13 12:00,0,
2016-02-13 21:00,2016-02-14 09:00,0,
2016-02-20 03:00,2016-02-20 23:59,0,
2016-02-21 00:00,2016-02-21 09:00,0,
2016-02-21 20:00,2016-02-22 08:00,0,
2016-02-22 18:00,2016-02-23 01:30,0,
2016-02-24 15:00,2016-02-25 09:30,0,
2016-02-26 00:00,2016-02-26 12:00,0,
2016-02-27 17:00,2016-02-27 20:30,0,
2016-03-07 06:00,2016-03-07 14:00,0,
2016-03-08 19:00,2016-03-08 06:00,0,overhanging
2016-03-10 03:45,2016-03-10 07:00,0,
2016-03-13 17:00,2016-03-13 22:00,0,
2016-03-20 15:00,2016-03-20 23:59,0,21th missing?
2016-03-23 05:00,2016-03-24 01:00,0,
2016-03-24 18:00,2016-03-25 09:00,0,
2016-03-26 00:00,2016-03-26 03:30,0,
2016-11-04 20:00,2016-11-05 01:00,0,shallow
2016-11-08 15:00,2016-11-09 23:00,0,
2016-11-10 06:00,2016-11-11 01:00,0,
2016-11-15 18:00,2016-11-16 03:00,0,
2016-11-17 06:15,2016-11-17 08:30,0,
2016-11-25 15:15,2016-11-26 01:30,0,
2016-11-26 23:00,2016-11-27 18:00,0,some kdp filth
2016-11-29 14:00,2016-11-30 04:00,0,
2016-12-01 02:00,2016-12-01 09:00,0,
2016-12-04 11:00,2016-12-04 19:00,0,
2016-12-13 12:00,2016-12-13 22:00,0,
2016-12-26 00:00,2016-12-26 04:00,0,kdp
2017-01-01 05:00,2017-01-01 12:00,0,
2017-01-02 03:00,2017-01-03 13:00,0,kdp noise
2017-01-13 02:00,2017-01-13 09:00,0,
2017-02-05 21:00,2017-02-06 09:00,0,very shallow
2017-02-12 15:00,2017-02-12 21:00,0,
2017-02-16 14:00,2017-02-17 04:00,0,
2017-02-19 00:00,2017-02-19 09:00,0,
2017-02-20 00:00,2017-02-20 23:59,0,
2017-02-22 10:00,2017-02-23 07:30,0,kdp close to surface
2017-02-23 08:00,2017-02-23 18:00,0,
2017-02-24 03:00,2017-02-24 23:59,0,
2017-02-26 03:00,2017-02-26 10:15,0,
2017-02-27 12:00,2017-02-27 23:00,0,
2017-03-01 18:00,2017-03-01 22:00,0,
2017-03-02 06:00,2017-03-02 16:30,0,
2017-03-03 17:00,2017-03-03 21:00,0,
2017-03-07 12:00,2017-03-09 03:00,0,
2017-03-09 13:00,2017-03-09 18:00,0,kdp
2017-03-14 00:00,2017-03-14 06:00,0,
2017-03-14 18:30,2017-03-14 21:00,0,kdp; zdr
2017-03-24 20:00,2017-03-25 06:00,0,
2017-03-30 18:00,2017-03-31 04:00,0,
2017-04-01 05:00,2017-04-01 08:00,0,
2017-04-26 02:30,2017-04-26 07:00,0,strong kdp
2017-04-29 17:00,2017-04-29 22:00,0,strong kdp
